127.0.0.1 - - [10/Oct/2016:09:44:14 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:44:33 +0200] "GET /Alumni-2/ HTTP/1.1" 200 6153
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:45:52 +0200] "POST /Alumni-2/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:45:53 +0200] "GET /Alumni-2/JSP/Login.jsp HTTP/1.1" 200 2400
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:03 +0200] "POST /Alumni-2/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:05 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 31294
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:06 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:23 +0200] "GET /Alumni-2/JSP/CV.jsp HTTP/1.1" 200 6411
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:23 +0200] "GET /Alumni-2/css/cv.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:23 +0200] "GET /Alumni-2/ImageUpload HTTP/1.1" 200 53774
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:27 +0200] "GET /Alumni-2/JSP/UpdateCV.jsp HTTP/1.1" 200 7576
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:27 +0200] "GET /Alumni-2/ImageUpload HTTP/1.1" 200 53774
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:41 +0200] "POST /Alumni-2/UpdateCV HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:41 +0200] "GET /Alumni-2/JSP/CV.jsp HTTP/1.1" 200 6411
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:46:41 +0200] "GET /Alumni-2/ImageUpload HTTP/1.1" 200 53774
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:53:34 +0200] "GET /Alumni-2/JSP/UpdateCV.jsp HTTP/1.1" 500 3703
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:53:55 +0200] "GET /Alumni-2/JSP/CV.jsp HTTP/1.1" 500 3679
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:54:38 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 31294
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:54:38 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:54:38 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:54:38 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:54:38 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:54:38 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:54:39 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:54:47 +0200] "GET /Alumni-2/JSP/CV.jsp HTTP/1.1" 200 6411
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:54:47 +0200] "GET /Alumni-2/ImageUpload HTTP/1.1" 200 53774
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:54:50 +0200] "GET /Alumni-2/JSP/UpdateCV.jsp HTTP/1.1" 200 7576
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:54:50 +0200] "GET /Alumni-2/ImageUpload HTTP/1.1" 200 53774
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:55:05 +0200] "POST /Alumni-2/UpdateCV HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:55:05 +0200] "GET /Alumni-2/JSP/CV.jsp HTTP/1.1" 200 6411
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:55:06 +0200] "GET /Alumni-2/ImageUpload HTTP/1.1" 200 53774
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:14 +0200] "GET /Alumni-2/JSP/CV.jsp HTTP/1.1" 200 6411
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:14 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:14 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:14 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:14 +0200] "GET /Alumni-2/css/cv.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:15 +0200] "GET /Alumni-2/jQuery/navigation-script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:15 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:15 +0200] "GET /Alumni-2/ImageUpload HTTP/1.1" 200 53774
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:21 +0200] "GET /Alumni-2/JSP/CV.jsp HTTP/1.1" 200 6411
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:21 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:21 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:21 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:21 +0200] "GET /Alumni-2/css/cv.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:22 +0200] "GET /Alumni-2/jQuery/navigation-script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:22 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:22 +0200] "GET /Alumni-2/ImageUpload HTTP/1.1" 200 53774
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:25 +0200] "GET /Alumni-2/JSP/UpdateCV.jsp HTTP/1.1" 500 3703
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:31 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 31294
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:43 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 31294
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:43 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:43 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:43 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:43 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:43 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:43 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:47 +0200] "GET /Alumni-2/JSP/CV.jsp HTTP/1.1" 200 6411
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:48 +0200] "GET /Alumni-2/ImageUpload HTTP/1.1" 200 53774
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:49 +0200] "GET /Alumni-2/JSP/UpdateCV.jsp HTTP/1.1" 200 7576
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:50 +0200] "GET /Alumni-2/ImageUpload HTTP/1.1" 200 53774
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:55 +0200] "POST /Alumni-2/UpdateCV HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:56 +0200] "GET /Alumni-2/JSP/CV.jsp HTTP/1.1" 200 6411
0:0:0:0:0:0:0:1 - - [10/Oct/2016:09:58:56 +0200] "GET /Alumni-2/ImageUpload HTTP/1.1" 200 53774
0:0:0:0:0:0:0:1 - - [10/Oct/2016:10:09:33 +0200] "GET /Alumni-2/JSP/CV.jsp HTTP/1.1" 200 6411
0:0:0:0:0:0:0:1 - - [10/Oct/2016:10:09:33 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:10:09:33 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:10:09:33 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:10:09:33 +0200] "GET /Alumni-2/jQuery/navigation-script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:10:09:33 +0200] "GET /Alumni-2/css/cv.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:10:09:34 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:10:09:34 +0200] "GET /Alumni-2/ImageUpload HTTP/1.1" 200 53774
0:0:0:0:0:0:0:1 - - [10/Oct/2016:10:09:42 +0200] "GET /Alumni-2/JSP/UpdateProfile.jsp HTTP/1.1" 200 7887
0:0:0:0:0:0:0:1 - - [10/Oct/2016:10:09:42 +0200] "GET /Alumni-2/css/updateProfile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:10:09:43 +0200] "GET /Alumni-2/ImageUpload HTTP/1.1" 200 53774
0:0:0:0:0:0:0:1 - - [10/Oct/2016:10:09:49 +0200] "POST /Alumni-2/UpdateProfile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Oct/2016:10:09:49 +0200] "GET /Alumni-2/JSP/CV.jsp HTTP/1.1" 200 6432
0:0:0:0:0:0:0:1 - - [10/Oct/2016:10:09:49 +0200] "GET /Alumni-2/ImageUpload HTTP/1.1" 200 53774
